1437128686185160705,1437128686185160705,2021-09-12 14:59:14 EDT,2021-09-12,14:59:14,-0400,20069434,dcfireems,DC Fire and EMS,,"On Saturday, September 11th #DCsBravest responded to 587 calls on the 20th Anniversary of 9/11. There were 179 critical and 308 non-critical EMS calls, and 100 fire related incidents and other types of emergencies. NEVER FORGET! (Photo by @DCFIREBYE)  https://t.co/FPHSzqtMWx",en,"[{'screen_name': 'dcfirebye', 'name': 'dcfirebye', 'id': '302404837'}]",[],['https://pbs.twimg.com/media/E_G07CBWQAks2JV.jpg'],0,2,45,['dcsbravest'],[],https://twitter.com/dcfireems/status/1437128686185160705,False,,1,https://pbs.twimg.com/media/E_G07CBWQAks2JV.jpg,,,,,,,[],,,,
1436693840958795779,1436693840958795779,2021-09-11 10:11:18 EDT,2021-09-11,10:11:18,-0400,20069434,dcfireems,DC Fire and EMS,,"Even as we remember the 20th Anniversary of 9/11, #DCsBravest continue to answer the call. 24/7 365 days a year.  https://t.co/FmECyUKZHC",en,[],[],[],1,9,52,['dcsbravest'],[],https://twitter.com/dcfireems/status/1436693840958795779,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1436693726823333893/pu/img/LiAfadkS_qXhwxXi.jpg,,,,,,,[],,,,
1436658710370299904,1436658710370299904,2021-09-11 07:51:43 EDT,2021-09-11,07:51:43,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 630 calls on Friday,September 10th. There were 198 critical and 302 non-critical EMS dispatches, and 130 fire related incidents and other types of emergencies, including 1 two alarm structure fire.  https://t.co/786TfgkdYv",en,[],[],['https://pbs.twimg.com/media/E_AJe3BXoAMkaW8.jpg'],0,1,8,['dcsbravest'],[],https://twitter.com/dcfireems/status/1436658710370299904,False,,1,https://pbs.twimg.com/media/E_AJe3BXoAMkaW8.jpg,,,,,,,[],,,,
1436020767528001542,1436020767528001542,2021-09-09 13:36:45 EDT,2021-09-09,13:36:45,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 588 calls on Wednesday, September 8th. There were 180 critical and 297 non-critical EMS dispatches, and 111 fire related incidents and other types of emergencies.  https://t.co/sESLKcSDxR",en,[],[],['https://pbs.twimg.com/media/E-3ExpjXIAIW_1X.png'],0,2,7,['dcsbravest'],[],https://twitter.com/dcfireems/status/1436020767528001542,False,,1,https://pbs.twimg.com/media/E-3ExpjXIAIW_1X.png,,,,,,,[],,,,
1435966811586002950,1435966811586002950,2021-09-09 10:02:21 EDT,2021-09-09,10:02:21,-0400,20069434,dcfireems,DC Fire and EMS,,#DCsBravest Fire Prevention personnel &amp; local firefighters going door to door preaching fire safety and checking smoke alarms. This is our monthly All Hands on Fire Prevention targeting a different neighborhood monthly. DC homeowners can call 311 to get a smoke alarm.  https://t.co/KqGlaJmlLM,en,[],[],"['https://pbs.twimg.com/media/E-2UMhZUUAUaJHY.jpg', 'https://pbs.twimg.com/media/E-2UMg7XEAAqilT.jpg', 'https://pbs.twimg.com/media/E-2UMhQX0AIrIfd.jpg', 'https://pbs.twimg.com/media/E-2UMlEVQAIfU0W.jpg']",0,0,12,['dcsbravest'],[],https://twitter.com/dcfireems/status/1435966811586002950,False,,1,https://pbs.twimg.com/media/E-2UMhZUUAUaJHY.jpg,,,,,,,[],,,,
1435605739993767936,1435605739993767936,2021-09-08 10:07:35 EDT,2021-09-08,10:07:35,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 592 calls on Tuesday, September 7th. There were 166 critical and 289 non-critical EMS dispatches, and 137 fire related incidents and other types of emergencies.  https://t.co/VFyZoRMmpt",en,[],[],['https://pbs.twimg.com/media/E-xLz5OXsAAqYAo.jpg'],2,2,13,['dcsbravest'],[],https://twitter.com/dcfireems/status/1435605739993767936,False,,1,https://pbs.twimg.com/media/E-xLz5OXsAAqYAo.jpg,,,,,,,[],,,,
1435263503011663879,1435263503011663879,2021-09-07 11:27:39 EDT,2021-09-07,11:27:39,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 597 calls on Monday, September 6th. There were 184 critical and 296 non-critical EMS dispatches, and 117 fire related incidents and other types of emergencies.  https://t.co/9MKHgdaAN4",en,[],[],['https://pbs.twimg.com/media/E-sT0IhXMAcBP4f.png'],0,4,15,['dcsbravest'],[],https://twitter.com/dcfireems/status/1435263503011663879,False,,1,https://pbs.twimg.com/media/E-sT0IhXMAcBP4f.png,,,,,,,[],,,,
1435059518757642244,1435059518757642244,2021-09-06 21:57:06 EDT,2021-09-06,21:57:06,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 574 calls on Sunday, September 5th. There were 170 critical and 300 non-critical EMS dispatches, and 104 fire related incidents and other types of emergencies, including 1 working structure fire.  https://t.co/O01P2WTSS4",en,[],[],['https://pbs.twimg.com/media/E-pbBoBXsAMeYjj.jpg'],2,1,8,['dcsbravest'],[],https://twitter.com/dcfireems/status/1435059518757642244,False,,1,https://pbs.twimg.com/media/E-pbBoBXsAMeYjj.jpg,,,,,,,[],,,,
1434553005454602240,1434553005454602240,2021-09-05 12:24:23 EDT,2021-09-05,12:24:23,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 608 calls on Saturday, September 4th. There were 158 critical and 333 non-critical EMS dispatches, and 117 fire related incidents and other types of emergencies, including a 2 Alarm structure fire and another working structure fire.  https://t.co/MPzvg0fQrn",en,[],[],['https://pbs.twimg.com/media/E-iOWnoXMAAL37q.jpg'],0,0,7,['dcsbravest'],[],https://twitter.com/dcfireems/status/1434553005454602240,False,,1,https://pbs.twimg.com/media/E-iOWnoXMAAL37q.jpg,,,,,,,[],,,,
1434326890433679367,1434326890433679367,2021-09-04 21:25:53 EDT,2021-09-04,21:25:53,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 627 calls on Friday, September 3rd. There were 194 critical and 322 non-critical EMS dispatches, and 111 fire related incidents and other types of emergencies.  https://t.co/n7cmS3sekh",en,[],[],['https://pbs.twimg.com/media/E-fAtGbWQAAt8Tu.jpg'],0,0,8,['dcsbravest'],[],https://twitter.com/dcfireems/status/1434326890433679367,False,,1,https://pbs.twimg.com/media/E-fAtGbWQAAt8Tu.jpg,,,,,,,[],,,,
1433819732428328973,1433819732428328973,2021-09-03 11:50:37 EDT,2021-09-03,11:50:37,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 587 calls on Thursday, September 2nd. There were 188 critical and 289 non-critical EMS dispatches, and 110 fire related incidents and other types of emergencies, including 1 working structure fire.  https://t.co/3g7LS8JFkg",en,[],[],['https://pbs.twimg.com/media/E-XzcmxWEAYkOWz.jpg'],0,2,6,['dcsbravest'],[],https://twitter.com/dcfireems/status/1433819732428328973,False,,1,https://pbs.twimg.com/media/E-XzcmxWEAYkOWz.jpg,,,,,,,[],,,,
1433535447402172429,1433535447402172429,2021-09-02 17:00:59 EDT,2021-09-02,17:00:59,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 531 calls on Wednesday, September 1st. There were 148 critical and 257 non-critical EMS dispatches, and 126 fire related incidents and other types of emergencies.  https://t.co/3wZQedMzh9",en,[],[],['https://pbs.twimg.com/media/E-Tw5BWWYAUWJMp.jpg'],0,2,11,['dcsbravest'],[],https://twitter.com/dcfireems/status/1433535447402172429,False,,1,https://pbs.twimg.com/media/E-Tw5BWWYAUWJMp.jpg,,,,,,,[],,,,
1433105205621628939,1433105205621628939,2021-09-01 12:31:21 EDT,2021-09-01,12:31:21,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 537 calls on Tuesday, August 31st. There were 150 critical and 276 non-critical EMS dispatches, and 111 fire related incidents and other types of emergencies.  https://t.co/7OVGLKoyX9",en,[],[],['https://pbs.twimg.com/media/E-NpljIWQA0tAGD.jpg'],0,1,8,['dcsbravest'],[],https://twitter.com/dcfireems/status/1433105205621628939,False,,1,https://pbs.twimg.com/media/E-NpljIWQA0tAGD.jpg,,,,,,,[],,,,
1432733710969982985,1432733710969982985,2021-08-31 11:55:10 EDT,2021-08-31,11:55:10,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 583 calls on Monday, August 30th. There were 160 critical and 314 non-critical EMS dispatches, and 109 fire related incidents and other types of emergencies.  https://t.co/qN7repufk5",en,[],[],['https://pbs.twimg.com/media/E-IXV0JWYAIg3jc.png'],0,4,6,['dcsbravest'],[],https://twitter.com/dcfireems/status/1432733710969982985,False,,1,https://pbs.twimg.com/media/E-IXV0JWYAIg3jc.png,,,,,,,[],,,,
1432394447162118153,1432394447162118153,2021-08-30 13:27:03 EDT,2021-08-30,13:27:03,-0400,20069434,dcfireems,DC Fire and EMS,,"When @Boone_ES on Minnesota Ave SE needed help removing some badly worn flags from their flagpole, #DCsBravest Truck 16 answered the call. We will return to assist once the school has new flags at hand.  https://t.co/AdgRAicUKQ",en,"[{'screen_name': 'boone_es', 'name': 'lawrence e. boone es', 'id': '705063566'}]",[],[],0,3,19,['dcsbravest'],[],https://twitter.com/dcfireems/status/1432394447162118153,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1432394169679499269/pu/img/ccoknPxFS8Pq-w84.jpg,,,,,,,[],,,,
1432356531555737603,1432356531555737603,2021-08-30 10:56:23 EDT,2021-08-30,10:56:23,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 535 calls on Sunday, August 29th. There were 168 critical and 247 non-critical EMS dispatches, and 120 fire related incidents and other types of emergencies.  https://t.co/HbY3V3hS9S",en,[],[],['https://pbs.twimg.com/media/E-DAFjkXEAIlo20.png'],0,2,6,['dcsbravest'],[],https://twitter.com/dcfireems/status/1432356531555737603,False,,1,https://pbs.twimg.com/media/E-DAFjkXEAIlo20.png,,,,,,,[],,,,
1432167852795207681,1432167852795207681,2021-08-29 22:26:39 EDT,2021-08-29,22:26:39,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 630 calls on Saturday, August 28th. There were 190 critical and 325 non-critical EMS dispatches, and 115 fire related incidents and other types of emergencies.  https://t.co/ptS04lLYrG",en,[],[],['https://pbs.twimg.com/media/E-AVEjxXsAIeqbp.jpg'],0,1,9,['dcsbravest'],[],https://twitter.com/dcfireems/status/1432167852795207681,False,,1,https://pbs.twimg.com/media/E-AVEjxXsAIeqbp.jpg,,,,,,,[],,,,
1431805878722830339,1431805878722830339,2021-08-28 22:28:17 EDT,2021-08-28,22:28:17,-0400,20069434,dcfireems,DC Fire and EMS,,"Earlier today #DCsBravest Engine 33 rolled out the door on a medical response, one of hundreds of calls for assistance that are answered daily throughout the District.  https://t.co/pfwWHGn2lx",en,[],[],[],3,8,57,['dcsbravest'],[],https://twitter.com/dcfireems/status/1431805878722830339,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1431805749890584576/pu/img/faxah2Be7LWEXpOW.jpg,,,,,,,[],,,,
1431680342155481095,1431680342155481095,2021-08-28 14:09:27 EDT,2021-08-28,14:09:27,-0400,20069434,dcfireems,DC Fire and EMS,,"#DCsBravest responded to 660 calls on Friday, August 27th. There were 189 critical and 340 non-critical EMS dispatches, and 131 fire related incidents and other types of emergencies.  https://t.co/i4dfcrzIMs",en,[],[],['https://pbs.twimg.com/media/E95ZrrrX0AA_R7l.jpg'],0,5,15,['dcsbravest'],[],https://twitter.com/dcfireems/status/1431680342155481095,False,,1,https://pbs.twimg.com/media/E95ZrrrX0AA_R7l.jpg,,,,,,,[],,,,
